rating,date,body
5.0,4 July 2025,"The Quality of headphones and Aux cable is really good. Noise cancellation is fantastic, After putting it on you are on the own world of yours. Dual Pairing makes the headphone accessible to use in 2 devices at the same time. The battery life is also very long, you charge yours headphones fully and not worry about it for a week. The ear pads or cushion part is not convertible means you cannot fold or turn them around like other headphones but that is not my concerns cause I can use them without it still. Overall they are easy, can be used in 2 devices at the same time (both device bluetooth not wired + bluetooth), comfortable to wear, looks aesthetic and will not let you down."
1.0,25 January 2024,"I'm writing this review to save you the sound-shattering disappointment I experienced with the NOISE TWO WIRLESS. These headphones promised audio bliss, but delivered a symphony of frustration.

Let's start with the build quality. Imagine a fragile butterfly crafted from recycled plastic – that's about as sturdy as these headphones felt. They weren't subjected to any mosh pits or extreme sports, just the gentle jostle of daily life. Yet, one fateful morning, a sickening crack echoed through my ears as the headband snapped like a stale cracker.

Now, I'm a reasonable person. Accidents happen. So, I contacted NOISE support, warranty in hand, expecting a swift resolution. What I got was a masterclass in customer service limbo. They dragged their feet through emails, requested photos from every angle (including a panoramic shot of my eardrums, apparently), and ultimately declared the damage ""not covered"" under some obscure clause about ""improper use"" (which, in their interpretation, apparently included breathing).

So, here I am, stuck with a broken pair of headphones and a bitter taste in my mouth. The audio, while it lasted, was decent, but not worth the hassle and heartbreak. My advice? Steer clear of this brand and its flimsy promises. Unless you enjoy the thrill of an audiophile rollercoaster that ends in a crash landing of disappointment, that is.

For those seeking a more constructive alternative:

Do your research! Read reviews from multiple sources before diving headfirst into any headphones.
Prioritize build quality. Look for materials known for their durability, not just their sleekness.
Understand the warranty terms thoroughly. Don't get blindsided by hidden clauses or exclusions.
Remember, your ears deserve better than a sonic heartbreak. Choose wisely, and may your listening experience be filled with joy, not cracks and customer service nightmares."
4.0,14 September 2025,"Headphones are fine with long battery backup, good build quality, you will not regret purchasing. It has good audio quality and latency, but if you are gaming or doing task like video editing especially music synchronisation you should try wired option as you can feel the latency which is the common issue for all wireless modes until you buy expensive ones. The mic quality is also good with noise filtering. It only lacks in the audio codec ( how it recieve audio from device ) which is sbc that is the least one in the spectrum, this means the audio quality is not great."
5.0,9 September 2025,Product have good sound along with value for money. Comfortable and durable
3.0,1 September 2025,Plastic quality is poor it broke within 3month
5.0,12 September 2025,Amazing product with best sound quality
1.0,22 August 2025,"Disgusting product ever seen . It dint even work properly for a month. From day 1 I am constantly sending for the replacement of the product and I have sent for 3 times. From sending the product to noise team and receiving to you back they take 15 days. And I lost whole 2 months only to do this process.
This product dont have proper bluetooth connection doesn't charge properly and waste of money and time.
 STRICTLY NOT RECOMMENDED TO BUY. DONT WASTE YOUR TIME AND MONEY IN BUYING IT.

u a refund or return"
5.0,17 July 2025,"i used over a month headphone is best
baterry best
sound quality best
but bass not bad but overall good bass
good product for safe ear thanks  noise and also amazon"
3.0,12 September 2025,Amazing sound quality but not anc /sound cancellation battery approx 12-15 days
3.0,4 September 2025,"The sound quality is just ok not that great but the comfort is very bad
After sometime your ears might hurt a bit"
4.0,19 August 2025,Really nice headphone 🎧 only drawback it's not foldable
3.0,14 August 2025,"The sound output of both sides of the headphone is not equal, the right side dominates, which spoils the whole mood"
3.0,22 August 2025,Average product not comfortable but good audio quality
4.0,3 October 2023,"I've had my headphones for a while now, and I'd like to share my thoughts on them. Let's start with the not-so-great aspects:

□Bad Qualities □
1. Defective Headphone
From day one, I noticed a significant issue with the right side of my headphones. When I turn the volume up to the maximum or above the recommended level, it starts making loud and disturbing noises like ""zzz zzz"" alongside the audio I'm listening to. This makes it quite challenging to understand what's being played. Fortunately, I usually keep the volume at a moderate level, so it's manageable for me. I considered getting them replaced, but the reputation of noise company' poor customer service discouraged me..

2. Sound leakage: Another downside is that when I crank up the volume, people around me can hear what I'm listening to through my headphones, which can be a bit embarrassing in public spaces.

Now, let's talk about the positive aspects:

☆Good Qualities☆
1. Impressive Battery Life: Charging these headphones for just one hour lasts me almost an entire week, which is incredibly convenient.

2. Excellent Sound Quality: At the recommended volume levels, the sound quality is fantastic, providing a rich and immersive listening experience.

3. Noise Isolation: These headphones do an excellent job of isolating external noise, making it possible for me to enjoy my music even in crowded places like Mumbai local trains.

4. Stylish Design: I must say these headphones look good. They have a sleek and modern design that complements my style.

5. Comfortable Fit: They are quite comfortable to wear for extended periods, which is perfect for long commutes or extended listening sessions.

6. Easy Controls: The buttons on these headphones are well-placed and easy to access, allowing me to control playback and adjust the volume without needing to touch my phone.

In summary, my headphone experience has been a mixed. While they have some drawbacks, such as the defective right side and sound leakage at high volumes, the positive aspects like long battery life, excellent sound quality, and comfort make them a decent choice for daily use.

I would recommend these headphones, especially for students. They offer excellent comfort, making them suitable for attending 6-7 hour long online lectures or studying online for extended periods. Additionally, they are quite durable, which makes them a good choice for working professionals. However, if you encounter a defective unit like I did, consider getting it replaced. It's also essential to be aware that the ""Noise"" company is known for its poor customer service, so keep that in mind before making a purchase decision."
4.0,7 August 2025,Awesome
3.0,12 August 2025,Package demage
